postcode,lat,lon
200,149.172,35.2949
221,149.172,35.2949
800,130.841,12.4618
801,130.841,12.4618
804,130.841,12.4618
810,130.865,12.3757
812,130.899,12.3915
813,130.899,12.3915
814,130.865,12.3757
815,130.865,12.3757
820,130.892,12.4551
821,130.892,12.4551
822,133.92,12.6782
828,130.941,12.4375
830,130.981,12.4722
831,130.981,12.4722
832,130.991,12.5032
835,131.021,12.4823
836,131.106,12.5578
837,131.027,12.7034
840,131.045,13.0694
845,131.045,13.0694
846,131.108,13.2267
847,132.106,13.7057
850,132.42,14.2793
851,132.42,14.2793
852,133.371,16.3024
853,132.412,14.5453
854,136.407,16.5123
860,134.174,19.6449
861,134.174,19.6449
862,134.353,18.6569
870,133.86,23.6955
871,133.86,23.6955
872,132.248,23.0973
880,136.32,12.603
885,136.726,13.7748
886,132.465,13.0382
1004,151.191,33.9086
1006,151.191,33.9086
1041,151.191,33.9086
1042,151.191,33.9086
1043,151.191,33.9086
1044,151.191,33.9086
1220,151.191,33.9086
1223,151.191,33.9086
1230,151.191,33.9086
1232,151.191,33.9086
1235,151.191,33.9086
1236,151.191,33.9086
1238,151.191,33.9086
1240,151.191,33.9086
1300,151.191,33.9086
1313,151.191,33.9086
1330,151.191,33.9086
1335,151.191,33.9086
1340,151.191,33.9086
1350,151.191,33.9086
1360,151.191,33.9086
1435,151.143,33.9379
1445,151.143,33.9379
1455,151.191,33.9086
1460,151.143,33.9379
1465,151.143,33.9379
1470,151.143,33.9379
1475,151.143,33.9379
1480,151.143,33.9379
1481,151.143,33.9379
1485,151.143,33.9379
1490,151.143,33.9379
1495,151.143,33.9379
1499,151.143,33.9379
1515,151.193,33.8293
1560,151.193,33.8293
1565,151.193,33.8293
1570,151.193,33.8293
1585,151.193,33.8293
1590,151.193,33.8293
1595,151.193,33.8293
1630,151.193,33.8293
1635,151.193,33.8293
1640,151.193,33.8293
1655,151.193,33.8293
1670,151.193,33.8293
1675,151.193,33.8293
1680,151.193,33.8293
1700,150.94,33.7693
1701,150.94,33.7693
1710,150.94,33.7693
1715,150.94,33.7693
1730,150.94,33.7693
1750,150.94,33.7693
1755,150.94,33.7693
1765,150.94,33.7693
1790,150.94,33.7693
1800,150.975,33.8878
1805,150.975,33.8878
1811,150.975,33.8878
1825,150.975,33.8878
1851,150.975,33.8878
1860,150.975,33.8878
1871,150.975,33.8878
1875,150.975,33.8878
1885,150.975,33.8878
1890,150.975,33.8878
1891,150.975,33.8878
2000,151.209,33.873
2001,151.209,33.873
2006,151.186,33.8896
2007,151.197,33.8811
2008,151.194,33.8913
2009,151.191,33.8707
2010,151.212,33.8862
2011,151.221,33.8704
2012,151.212,33.8862
2014,151.191,33.9086
2015,151.191,33.9086
2016,151.206,33.8948
2017,151.206,33.9053
2018,151.205,33.9249
2019,151.204,33.9521
2020,151.183,33.9442
2021,151.23,33.893
2022,151.249,33.8973
2023,151.255,33.8816
2024,151.26,33.905
2025,151.241,33.8883
2026,151.271,33.891
2027,151.236,33.877
2028,151.244,33.8811
2029,151.264,33.8748
2030,151.275,33.8604
2031,151.236,33.9199
2032,151.229,33.9285
2033,151.223,33.9098
2034,151.254,33.9263
2035,151.241,33.9468
2036,151.236,33.9751
2037,151.185,33.88
2038,151.169,33.8813
2039,151.173,33.8673
2040,151.156,33.8778
2041,151.182,33.856
2042,151.178,33.9017
2043,151.185,33.9029
2044,151.17,33.9218
2045,151.138,33.8813
2046,151.129,33.8606
2047,151.153,33.8532
2048,151.165,33.8953
2049,151.152,33.8971
2050,151.177,33.8902
2057,151.178,33.7973
2059,151.204,33.8406
2060,151.204,33.8406
2061,151.214,33.8489
2062,151.214,33.824
2063,151.215,33.8128
2064,151.183,33.8124
2065,151.193,33.8293
2066,151.161,33.819
2067,151.178,33.7973
2068,151.21,33.8017
2069,151.197,33.7819
2070,151.171,33.778
2071,151.164,33.7669
2072,151.154,33.7585
2073,151.137,33.7539
2074,151.152,33.713
2075,151.175,33.7214
2076,151.115,33.7225
2077,151.099,33.6727
2079,151.115,33.665
2080,151.165,33.6268
2081,151.161,33.6068
2082,151.156,33.5809
2083,151.204,33.5167
2084,151.234,33.6432
2085,151.211,33.7292
2086,151.235,33.7552
2087,151.211,33.7689
2088,151.249,33.83
2089,151.218,33.8395
2090,151.223,33.8339
2092,151.242,33.7931
2093,151.258,33.7995
2094,151.273,33.7956
2095,151.29,33.8051
2096,151.285,33.7772
2097,151.296,33.7357
2099,151.278,33.7455
2100,151.252,33.7514
2101,151.262,33.694
2102,151.296,33.6913
2103,151.298,33.6785
2104,151.289,33.6614
2105,151.278,33.6489
2106,151.315,33.658
2107,151.323,33.6304
2108,151.298,33.5908
2109,151.112,33.7711
2110,151.142,33.8315
2111,151.13,33.8311
2112,151.112,33.8142
2113,151.128,33.7957
2114,151.084,33.8105
2115,151.06,33.8124
2116,151.036,33.8157
2117,151.041,33.798
2118,151.043,33.7769
2119,151.066,33.7543
2120,151.077,33.7253
2121,151.081,33.7706
2122,151.089,33.7827
2124,151.004,33.8168
2125,151.032,33.7493
2126,151.045,33.7232
2127,151.073,33.8499
2128,151.037,33.8399
2129,151.07,33.8635
2130,151.137,33.8948
2131,151.125,33.8912
2132,151.116,33.8825
2133,151.102,33.899
2134,151.103,33.8797
2135,151.082,33.8801
2136,151.086,33.8956
2137,151.104,33.8536
2138,151.085,33.8416
2140,151.073,33.8499
2141,151.046,33.8568
2142,151.005,33.8411
2143,151.024,33.8865
2144,151.028,33.8564
2145,150.957,33.8139
2146,150.956,33.794
2147,150.94,33.7693
2148,150.902,33.7866
2150,151.004,33.8168
2151,151.013,33.7841
2152,150.993,33.7853
2153,150.956,33.7237
2154,150.997,33.73
2155,150.935,33.7054
2156,150.972,33.6479
2157,150.958,33.5912
2158,151.033,33.6741
2159,151.079,33.5853
2160,150.982,33.8372
2161,150.982,33.8577
2162,151.003,33.8843
2163,150.975,33.8878
2164,150.885,33.8443
2165,150.943,33.8693
2166,150.939,33.8944
2167,150.889,33.9744
2168,150.88,33.9125
2170,150.913,33.9327
2171,150.777,33.941
2173,150.898,34.1021
2176,150.884,33.8722
2177,150.879,33.8946
2190,151.056,33.9008
2191,151.085,33.906
2192,151.088,33.9211
2193,151.12,33.9126
2194,151.102,33.9166
2195,151.077,33.9241
2196,151.061,33.9301
2197,150.993,33.9026
2198,150.988,33.91
2199,151.023,33.9036
2200,151.01,33.923
2203,151.138,33.9072
2204,151.155,33.912
2205,151.143,33.9379
2206,151.13,33.927
2207,151.118,33.9494
2208,151.098,33.9412
2209,151.076,33.9501
2210,151.051,33.9663
2211,151.031,33.9577
2212,151.011,33.9557
2213,151,33.9645
2214,150.982,33.9438
2216,151.15,33.9562
2217,151.136,33.9747
2218,151.119,33.9725
2219,151.133,33.9971
2220,151.1,33.9692
2221,151.104,33.9902
2222,151.086,33.9663
2223,151.071,33.9796
2224,151.1,34.012
2225,151.082,34.0066
2226,151.068,34.0106
2227,151.085,34.0428
2228,151.104,34.0429
2229,151.119,34.0414
2230,151.124,34.0805
2231,151.186,34.0229
2232,151.062,34.0532
2233,151.035,34.1008
2234,151.013,34.0209
2250,151.214,33.3375
2251,151.39,33.4797
2252,151.39,33.4797
2256,151.313,33.4875
2257,151.378,33.5196
2258,151.355,33.3353
2259,151.423,33.2383
2260,151.441,33.433
2261,151.462,33.3756
2262,151.538,33.2091
2263,151.548,33.2783
2264,151.499,33.1127
2265,151.422,33.0901
2267,151.589,33.0905
2278,151.562,32.9545
2280,151.658,33.0368
2281,151.624,33.1181
2282,151.648,32.9818
2283,151.561,33.0175
2284,151.61,32.9604
2285,151.66,32.9371
2286,151.545,32.9319
2287,151.633,32.8892
2289,151.704,32.942
2290,151.697,32.9919
2291,151.744,32.9498
2292,151.734,32.9215
2293,151.754,32.9184
2295,151.793,32.8927
2296,151.746,32.9154
2297,151.75,32.9093
2298,151.72,32.9058
2299,151.705,32.9083
2300,151.778,32.9311
2301,151.778,32.9311
2302,151.758,32.9263
2303,151.743,32.9284
2304,151.739,32.8803
2305,151.698,32.9291
2306,151.681,32.9944
2307,151.691,32.8839
2308,151.706,32.892
2309,151.778,32.9311
2310,151.778,32.9311
2311,151.502,32.3527
2312,152.33,32.1312
2315,152.159,32.7391
2316,152.094,32.7804
2317,152.073,32.718
2318,151.958,32.7863
2319,152.01,32.7389
2320,151.513,32.7231
2321,151.7,32.6598
2322,151.67,32.8191
2323,151.583,32.7858
2324,151.991,32.6614
2325,151.321,32.977
2326,151.443,32.7867
2327,151.485,32.8157
2328,150.556,32.54
2329,150.101,32.0596
2330,151.012,32.7262
2333,150.675,32.265
2334,151.403,32.7229
2335,151.334,32.652
2336,151.026,32.1345
2337,151.223,31.8284
2338,150.96,31.6732
2339,150.5,31.709
2340,150.933,31.2306
2341,150.627,31.3321
2342,150.6,31.1796
2343,150.288,31.4869
2344,150.747,31.1977
2345,150.87,30.8524
2346,150.762,30.6533
2347,150.548,30.304
2350,151.873,30.4418
2351,151.637,30.4896
2352,151.199,31.1079
2353,151.103,30.9666
2354,151.785,31.1474
2355,151.169,30.7793
2356,148.939,30.5731
2357,149.322,31.1726
2358,151.457,30.5364
2359,151.05,30.1863
2360,151.138,29.5029
2361,151.154,29.1768
2365,151.636,30.1192
2369,151.255,29.9596
2370,151.855,29.7645
2371,151.8,29.3635
2372,152.149,28.9107
2379,149.797,31.2271
2380,150.078,31.0346
2381,150.465,31.2483
2382,150.025,30.6592
2386,148.916,30.0658
2387,148.909,29.7121
2388,149.311,30.1541
2390,149.779,30.3894
2391,149.779,30.3894
2395,149.437,31.5497
2396,149.037,30.811
2397,149.78,29.8915
2398,149.814,29.7224
2399,150.179,29.4268
2400,149.612,29.4297
2401,150.336,29.6377
2402,150.554,29.4
2403,150.788,29.588
2404,150.523,29.9333
2405,149.602,28.9129
2406,148.949,29.0145
2408,150.432,29.0143
2409,150.218,28.7464
2410,150.717,28.8837
2411,150.307,29.1281
2415,151.886,32.2947
2420,151.599,32.2604
2421,151.57,32.6098
2422,151.873,31.9345
2423,152.305,32.3723
2424,151.982,31.6919
2425,151.977,32.3942
2426,152.616,31.8223
2427,152.687,31.8401
2428,152.449,32.2615
2429,152.326,31.7933
2430,152.497,31.8967
2431,153.049,30.9292
2439,152.672,31.6261
2440,152.549,30.9611
2441,152.734,31.2567
2443,152.687,31.7139
2444,152.881,31.4262
2445,152.825,31.5789
2446,152.475,31.3671
2447,152.626,30.7076
2448,152.932,30.6104
2449,152.725,30.6257
2450,152.708,30.0966
2452,153.074,30.36
2453,152.554,30.3764
2454,152.806,30.4706
2455,152.951,30.52
2456,153.134,30.0708
2460,152.74,29.5945
2462,153.226,29.7857
2463,153.18,29.4805
2464,153.323,29.4707
2465,153.244,29.412
2466,153.35,29.4062
2468,152.839,29.0027
2469,152.839,29.0027
2470,152.965,28.9421
2471,153.237,29.0429
2472,153.302,29.1352
2473,153.432,29.1054
2474,152.88,28.5351
2475,152.426,28.5523
2476,152.324,28.4477
2477,153.436,28.8938
2478,153.531,28.8479
2479,153.518,28.7001
2480,153.253,28.7522
2481,153.596,28.6651
2482,153.443,28.5424
2483,153.481,28.5013
2484,153.331,28.3881
2485,153.531,28.1804
2486,153.469,28.213
2487,153.544,28.2483
2488,153.56,28.3296
2489,153.53,28.384
2490,153.467,28.2686
2500,150.878,34.412
2502,150.878,34.4928
2505,150.9,34.4836
2506,150.846,34.4921
2508,150.969,34.2254
2509,150.969,34.2254
2515,150.935,34.2891
2516,150.9,34.3278
2517,150.892,34.3504
2518,150.893,34.3737
2519,150.768,34.3516
