"Tested:",,,"Documented:","Deprecated",,"Exists:"
,,,,,,
,,,"abstract",,,"abstract"
"abstract_from",3,,"abstract_from",,,"abstract_from"
"add_to_cleanup ",1,,"add_to_cleanup",,,"add_to_cleanup"
"all_from",2,,"all_from",,,"all_from"
,,,"author",,,"author"
,,,"author_context",,,"author_context"
"(all_from)",2,,"author_from",,,"author_from"
,,,"auto_bundle","*",,"auto_bundle"
,,,"auto_bundle_deps","*",,"auto_bundle_deps"
,,,"auto_features",,,"auto_features"
,,,"auto_install","*",,"auto_install"
,,,"automated_testing",,,"automated_testing"
,,,"autosplit",,,"autosplit"
"bugtracker",3,,"bugtracker",,,"bugtracker"
,,,"build_class",,,"build_class"
"build_requires",1,,"build_requires",,,"build_requires"
,,,"bundle","*",,"bundle"
,,,"bundle_deps","*",,"bundle_deps"
,,,"c_source",,,"c_source"
,,,"can_cc",,,"can_cc"
,,,"can_run",,,"can_run"
,,,"can_use",,,"can_use"
,,,"check_nmake","*",,"check_nmake"
,,,"configure_requires",,,"configure_requires"
,,,"conflicts",,,"conflicts"
"create_build_script",1,,"create_build_script",,,"create_build_script"
"create_license",1,,"create_license",,,"create_license"
"create_makefile_pl  ",1,,"create_makefile_pl",,,"create_makefile_pl"
,,,"create_packlist",,,"create_packlist"
,,,"create_readme",,,"create_readme"
,,,"cygwin",,,"cygwin"
,,,"dist_abstract",,,"dist_abstract"
"dist_author",1,,"dist_author",,,"dist_author"
"dist_name",3,,"dist_name",,,"dist_name"
,,,"dist_version",,,"dist_version"
"dist_version_from",1,,"dist_version_from",,,"dist_version_from"
,,,"dynamic_config",,,"dynamic_config"
,,,"extra_compiler_flag",,,"extra_compiler_flag"
,,,"extra_compiler_flags",,,"extra_compiler_flags"
,,,"extra_linker_flag",,,"extra_linker_flag"
,,,"extra_linker_flags",,,"extra_linker_flags"
,,,"get_builder",,,"get_builder"
,,,"get_file","*",,"get_file"
,,,"get_options",,,"get_options"
,,,"include_dir",,,"include_dir"
,,,"include_dirs",,,"include_dirs"
,,,"install_as_core",,,"install_as_core"
,,,"install_as_cpan",,,"install_as_cpan"
,,,"install_as_site",,,"install_as_site"
,,,"install_as_vendor",,,"install_as_vendor"
,,,"install_path",,,"install_path"
,,,"install_script",,,"install_script"
"install_share",1,,"install_share",,,"install_share"
,,,"installdirs",,,"installdirs"
,,,"interactive",,,"interactive"
"license",1,,"license",,,"license"
,,,"license_from",,,"license_from"
"meta_add",3,,"meta_add",,,"meta_add"
"meta_merge",3,,"meta_merge",,,"meta_merge"
"module_name",1,,"module_name",,,"module_name"
,,,"name",,,"name"
,,,"no_index",,,"no_index"
"perl_version",1,,"perl_version",,,"perl_version"
"(all_from)",2,,"perl_version_from",,,"perl_version_from"
,,,"pl_file",,,"pl_file"
,,,"PL_file",,,"PL_file"
,,,"pl_files",,,"pl_files"
,,,"PL_files",,,"PL_files"
,,,"pm_file",,,"pm_file"
,,,"pm_files",,,"pm_files"
,,,"pod_file",,,"pod_file"
,,,"pod_files",,,"pod_files"
,,,"recommends",,,"recommends"
,,,"recursive_test_files",,,"recursive_test_files"
,,,"release_testing",,,"release_testing"
"repository",3,,"repository",,,"repository"
"requires",1,,"requires",,,"requires"
,,,"requires_external_bin",,,"requires_external_bin"
,,,"requires_external_cc",,,"requires_external_cc"
,,,"script_file",,,"script_file"
,,,"script_files",,,"script_files"
,,,"sign",,,"sign"
,,,"subclass",,,"subclass"
,,,"tap_harness_args",,,"tap_harness_args"
,,,"test_file",,,"test_file"
,,,"test_files",,,"test_files"
"test_requires",1,,"test_requires",,,"test_requires"
,,,"use_tap_harness",,,"use_tap_harness"
,,,"version",,,"version"
,,,"version_from",,,"version_from"
,,,"win32",,,"win32"
,,,"winlike",,,"winlike"
,,,"WriteAll",,,"WriteAll"
,,,"xs_file",,,"xs_file"
,,,"xs_files",,,"xs_files"
